name,gender,nationality,nationalityID,birth
Yasmina Baddou,female,Morocco,Q1028,1962
Nina Karpachova,female,Ukraine,Q212,1957
Lydia Peeters,female,Belgium,Q31,1969
Kang Kum-sil,female,South Korea,Q884,1957
Winefreda Geonzon,female,Philippines,Q928,1941
Véronique Hivon,female,Canada,Q16,1970
Anna Yevreinova,female,Russian Empire,Q34266,1844
Dina Kaminskaya,female,United States,Q30,1919
Wendy Kaminer,female,United States,Q30,1949
Wassyla Tamzali,female,Algeria,Q262,1941
Zorayda Andam,female,Philippines,Q928,1980
Sally Clark,female,United Kingdom,Q145,1964
Svetlana Goryacheva,female,Russia,Q159,1947
Laurel Broten,female,Canada,Q16,1969
Paula Cox,female,United Kingdom,Q145,1964
Alexandra Davis DiPentima,female,United States,Q30,1953
Vanessa Place,female,United States,Q30,1968
Val Ackerman,female,United States,Q30,1959
Cheryl Jacques,female,United States,Q30,1962
Elizabeth Sneyers,female,Belgium,Q31,1913
Larysa Denysenko,female,Ukraine,Q212,1973
Lorna E. Lockwood,female,United States,Q30,1903
Dolores Johnson Sastre,female,Spain,Q29,1969
Thérèse Daviau,female,Canada,Q16,1944
Francine Summa,female,France,Q142,1953
Lyudmila Grudtsyna,female,Russia,Q159,1979
Leila Zerrougui,female,Algeria,Q262,1956
Leila Aïchi,female,France,Q142,1970
Francine Lazurick,female,France,Q142,1909
France Moulin,female,France,Q142,1962
Lidia Falcón,female,Spain,Q29,1935
Paula Teixeira da Cruz,female,Portugal,Q45,1960
Susan Brooks,female,United States,Q30,1960
Tamar Pelleg-Sryck,female,Israel,Q801,1926
Lisa Scottoline,female,United States,Q30,1955
Susie Sharp,female,United States,Q30,1907
Svetlana Bakhmina,female,Russia,Q159,1969
Elvira Baryakina,female,United States,Q30,1975
Mónica Oltra,female,Spain,Q29,1969
Fatima Ezzahra El Mansouri,female,Morocco,Q1028,1976
Nataliya Barshchevskaya,female,Russia,Q159,1977
Ramona Mănescu,female,Romania,Q218,1972
Linda Duncan,female,Canada,Q16,1949
Bonnie S. Klapper,female,United States,Q30,1957
Silda Wall Spitzer,female,United States,Q30,1957
Sylvie Roy,female,Canada,Q16,1964
Sylvie Noachovitch,female,France,Q142,1964
Laurence de Monaghan,female,France,Q142,1954
Laure Moghaizel,female,Lebanon,Q822,1929
Latifa Habachi,female,Tunisia,Q948,1972
Aleta Arthur Trauger,female,United States,Q30,1945
Sylvie Joly,female,France,Q142,1934
Barbara Barrett,female,United States,Q30,1950
Stevie Cameron,female,Canada,Q16,1943
Stephanie Rawlings-Blake,female,United States,Q30,1970
Katarína Tóthová,female,Slovakia,Q214,1940
Ericka Bareigts,female,France,Q142,1967
Lara Jill Miller,female,United States,Q30,1967
Eefke Mulder,female,Kingdom of the Netherlands,Q29999,1977
Silvana Arbia,female,Italy,Q38,1952
Kerry-Lynne Findlay,female,Canada,Q16,1955
Kathleen Weil,female,Canada,Q16,1954
Kathleen Neal Cleaver,female,United States,Q30,1945
Alejandra Krauss,female,Chile,Q298,1956
Aldéa Landry,female,Canada,Q16,1945
Sue Barnes,female,Canada,Q16,1952
Stéphanie Vallée,female,Canada,Q16,1971
Zohra Othman,female,Belgium,Q31,1968
Plia Albeck,female,Israel,Q801,1937
Karen Parker,female,United States,Q30,1949
Sophie Joissains,female,France,Q142,1969
Sophie Dion,female,France,Q142,1956
Sheila Simon,female,United States,Q30,1961
Sheila Camerer,female,South Africa,Q258,1941
Elizabeth Weir,female,Canada,Q16,1948
Elisse B. Walter,female,United States,Q30,1950
Star Jones,female,United States,Q30,1962
Joênia Wapichana,female,Brazil,Q155,1974
Nilda Celia Garré,female,Argentina,Q414,1945
Julia Leigh,female,Australia,Q408,1970
Ruth Richardson,female,New Zealand,Q664,1950
Bergljot Webster,female,Norway,Q20,1966
Tina Lagostena Bassi,female,Kingdom of Italy,Q172579,1926
Rosalinda Vélez Juárez,female,Mexico,Q96,1964
Elula Perrin,female,France,Q142,1929
Ellen Gracie,female,Brazil,Q155,1948
Ellen Brown,female,United States,Q30,1945
Rebecca Ann King,female,United States,Q30,1950
Paule Gauthier,female,Canada,Q16,1943
Margarita Stolbizer,female,Argentina,Q414,1955
Soraya Rodríguez,female,Spain,Q29,1963
Giustina Rocca,female,Kingdom of Naples,Q173065,1450
Eti Livni,female,Israel,Q801,1948
Cheri Honkala,female,United States,Q30,1963
Isabelle Zribi,female,France,Q142,1974
Isabelle Regout,female,Canada,Q16,1973
Isabelle Molenberg,female,Belgium,Q31,1970
Isabelle Coutant-Peyre,female,France,Q142,1953
Lilian Helder,female,Kingdom of the Netherlands,Q29999,1973
Jacqueline Rousseaux,female,Belgium,Q31,1950
Jacqueline Massabki,female,Lebanon,Q822,1953
Dalia Rabin-Pelossof,female,Israel,Q801,1950
Miriam Ben-Porat,female,Israel,Q801,1918
Meli Polishook-Bloch,female,Israel,Q801,1953
Bénédicte Ficq,female,Kingdom of the Netherlands,Q29999,1957
Hélène Lipietz,female,France,Q142,1958
Senetta Josephtal,female,Israel,Q801,1912
Huwaida Arraf,female,United States,Q30,1976
Isabel Tocino Biscarolasaga,female,Spain,Q29,1949
Irène Terrel,female,France,Q142,1950
Marthe Maeren,female,Belgium,Q31,1958
Sabine de Bethune,female,Belgium,Q31,1958
Daphne Barak Erez,female,United States,Q30,1965
Karin Prien,female,Germany,Q183,1965
Anne M. Burke,female,United States,Q30,1944
Nina Dethloff,female,Germany,Q183,1958
Gaia Afrania,female,Ancient Rome,Q1747689,-50
Anita Hill,female,United States,Q30,1956
Annick De Ridder,female,Belgium,Q31,1979
Anne McLellan,female,Canada,Q16,1950
Anne Marie Hoebeke,female,Belgium,Q31,1952
Mireille Roccatti,female,Mexico,Q96,1901
Andrea Verešová,female,Slovakia,Q214,1980
Bibiana Rossa Torres,female,Andorra,Q228,1960
Karin Maag,female,Germany,Q183,1962
Karin Stieringer,female,Germany,Q183,1930
Ivideliza Reyes,female,Mexico,Q96,1978
Peggy Kopp,female,Venezuela,Q717,1951
Annelies Storms,female,Belgium,Q31,1971
Orit Noked,female,Israel,Q801,1952
Nora Ginzburg,female,Argentina,Q414,1949
Teresa Carpio Villegas,female,Peru,Q419,1970
Jūratė Galinaitytė,female,Lithuania,Q37,1940
Matilde Alba Swann,female,Argentina,Q414,1912
Nicola Beer,female,Germany,Q183,1970
